freqHz,wcetMs,phaseMs,c1RateDst,c1Init,c2RateSrc,c2Init,tickCount,worstCasePathMs,criticalPathThroughCnnMs,criticalPathExecutionThroughCnnMs
400,1/2,83/5,21/10,1,7/10,18,3000,98,98,6521/1500
400,3/4,83/5,21/10,1,7/10,18,3000,98,98,1724/375
400,1,83/5,21/10,1,7/10,18,3000,98,98,7271/1500
400,5/4,83/5,21/10,1,7/10,18,3000,98,98,3823/750
400,3/2,83/5,21/10,1,7/10,18,3000,98,98,8021/1500
125,0,83/5,168/25,154/25,56/25,18,6000,123,98,5771/1500
125,1/4,83/5,168/25,154/25,56/25,18,6000,123,98,3073/750
125,1/2,83/5,168/25,154/25,56/25,18,6000,123,98,6521/1500
125,3/4,83/5,168/25,154/25,56/25,18,6000,123,98,1724/375
125,1,83/5,168/25,154/25,56/25,18,6000,123,98,7271/1500
125,5/4,83/5,168/25,154/25,56/25,18,6000,123,98,3823/750
125,3/2,83/5,168/25,154/25,56/25,18,6000,123,98,8021/1500
125,7/4,83/5,168/25,154/25,56/25,18,6000,123,98,2099/375
125,2,83/5,168/25,154/25,56/25,18,6000,123,98,8771/1500
125,9/4,83/5,168/25,154/25,56/25,18,6000,123,98,4573/750
125,5/2,83/5,168/25,154/25,56/25,18,6000,123,98,9521/1500
125,11/4,83/5,168/25,154/25,56/25,18,6000,123,98,2474/375
125,3,83/5,168/25,154/25,56/25,18,6000,123,98,10271/1500
125,13/4,83/5,168/25,154/25,56/25,18,6000,123,98,5323/750
125,7/2,83/5,168/25,154/25,56/25,18,6000,123,98,11021/1500
125,15/4,83/5,168/25,154/25,56/25,18,6000,123,98,2849/375
125,4,83/5,168/25,154/25,56/25,18,6000,123,98,11771/1500
125,17/4,83/5,168/25,154/25,56/25,18,6000,123,98,6073/750
125,9/2,83/5,168/25,154/25,56/25,18,6000,123,98,12521/1500
125,19/4,83/5,168/25,154/25,56/25,18,6000,123,98,3224/375
125,5,83/5,168/25,154/25,56/25,18,6000,123,98,13271/1500
250,0,83/5,84/25,14/5,28/25,18,3000,98,98,5771/1500
250,1/4,83/5,84/25,14/5,28/25,18,3000,98,98,3073/750
250,1/2,83/5,84/25,14/5,28/25,18,3000,98,98,6521/1500
250,3/4,83/5,84/25,14/5,28/25,18,3000,98,98,1724/375
250,1,83/5,84/25,14/5,28/25,18,3000,98,98,7271/1500
250,5/4,83/5,84/25,14/5,28/25,18,3000,98,98,3823/750
250,3/2,83/5,84/25,14/5,28/25,18,3000,98,98,8021/1500
250,7/4,83/5,84/25,14/5,28/25,18,3000,98,98,2099/375
250,2,83/5,84/25,14/5,28/25,18,3000,98,98,8771/1500
250,9/4,83/5,84/25,14/5,28/25,18,3000,98,98,4573/750
250,5/2,83/5,84/25,14/5,28/25,18,3000,98,98,9521/1500
250,11/4,83/5,84/25,14/5,28/25,18,3000,98,98,2474/375
250,3,83/5,84/25,14/5,28/25,18,3000,98,98,10271/1500
250,13/4,83/5,84/25,14/5,28/25,18,3000,98,98,5323/750
250,7/2,83/5,84/25,14/5,28/25,18,3000,98,98,11021/1500
250,15/4,83/5,84/25,14/5,28/25,18,3000,98,98,2849/375
300,0,83/5,14/5,1,14/15,18,3000,98,98,5771/1500
300,1/4,83/5,14/5,1,14/15,18,3000,98,98,3073/750
300,1/2,83/5,14/5,1,14/15,18,3000,98,98,6521/1500
300,3/4,83/5,14/5,1,14/15,18,3000,98,98,1724/375
300,1,83/5,14/5,1,14/15,18,3000,98,98,7271/1500
300,5/4,83/5,14/5,1,14/15,18,3000,98,98,3823/750
300,3/2,83/5,14/5,1,14/15,18,3000,98,98,8021/1500
300,7/4,83/5,14/5,1,14/15,18,3000,98,98,2099/375
300,2,83/5,14/5,1,14/15,18,3000,98,98,8771/1500
300,9/4,83/5,14/5,1,14/15,18,3000,98,98,4573/750
300,5/2,83/5,14/5,1,14/15,18,3000,98,98,9521/1500
300,11/4,83/5,14/5,1,14/15,18,3000,98,98,2474/375
300,3,83/5,14/5,1,14/15,18,3000,98,98,10271/1500
500,0,83/5,42/25,28/25,14/25,18,3000,98,98,5771/1500
500,1/4,83/5,42/25,28/25,14/25,18,3000,98,98,3073/750
500,1/2,83/5,42/25,28/25,14/25,18,3000,98,98,6521/1500
500,3/4,83/5,42/25,28/25,14/25,18,3000,98,98,1724/375
500,1,83/5,42/25,28/25,14/25,18,3000,98,98,7271/1500
500,5/4,83/5,42/25,28/25,14/25,18,3000,98,98,3823/750
500,3/2,83/5,42/25,28/25,14/25,18,3000,98,98,8021/1500
500,7/4,83/5,42/25,28/25,14/25,18,3000,98,98,2099/375
200,0,83/5,21/5,14/5,7/5,18,3000,98,98,5771/1500
200,1/4,83/5,21/5,14/5,7/5,18,3000,98,98,3073/750
200,1/2,83/5,21/5,14/5,7/5,18,3000,98,98,6521/1500
200,3/4,83/5,21/5,14/5,7/5,18,3000,98,98,1724/375
200,1,83/5,21/5,14/5,7/5,18,3000,98,98,7271/1500
200,5/4,83/5,21/5,14/5,7/5,18,3000,98,98,3823/750
200,3/2,83/5,21/5,14/5,7/5,18,3000,98,98,8021/1500
200,7/4,83/5,21/5,14/5,7/5,18,3000,98,98,2099/375
200,2,83/5,21/5,14/5,7/5,18,3000,98,98,8771/1500
200,9/4,83/5,21/5,14/5,7/5,18,3000,98,98,4573/750
200,5/2,83/5,21/5,14/5,7/5,18,3000,98,98,9521/1500
200,11/4,83/5,21/5,14/5,7/5,18,3000,98,98,2474/375
200,3,83/5,21/5,14/5,7/5,18,3000,98,98,10271/1500
200,13/4,83/5,21/5,14/5,7/5,18,3000,98,98,5323/750
200,7/2,83/5,21/5,14/5,7/5,18,3000,98,98,11021/1500
200,15/4,83/5,21/5,14/5,7/5,18,3000,98,98,2849/375
200,4,83/5,21/5,14/5,7/5,18,3000,98,98,11771/1500
200,17/4,83/5,21/5,14/5,7/5,18,3000,98,98,6073/750
200,9/2,83/5,21/5,14/5,7/5,18,3000,98,98,12521/1500
200,19/4,83/5,21/5,14/5,7/5,18,3000,98,98,3224/375
600,0,83/5,7/5,1,7/15,18,3000,98,98,5771/1500
600,1/4,83/5,7/5,1,7/15,18,3000,98,98,3073/750
600,1/2,83/5,7/5,1,7/15,18,3000,98,98,6521/1500
600,3/4,83/5,7/5,1,7/15,18,3000,98,98,1724/375
600,1,83/5,7/5,1,7/15,18,3000,98,98,7271/1500
600,5/4,83/5,7/5,1,7/15,18,3000,98,98,3823/750
600,3/2,83/5,7/5,1,7/15,18,3000,98,98,8021/1500
375,0,83/5,56/25,42/25,56/75,18,6000,123,98,5771/1500
375,1/4,83/5,56/25,42/25,56/75,18,6000,123,98,3073/750
375,1/2,83/5,56/25,42/25,56/75,18,6000,123,98,6521/1500
375,3/4,83/5,56/25,42/25,56/75,18,6000,123,98,1724/375
375,1,83/5,56/25,42/25,56/75,18,6000,123,98,7271/1500
375,5/4,83/5,56/25,42/25,56/75,18,6000,123,98,3823/750
375,3/2,83/5,56/25,42/25,56/75,18,6000,123,98,8021/1500
375,7/4,83/5,56/25,42/25,56/75,18,6000,123,98,2099/375
375,2,83/5,56/25,42/25,56/75,18,6000,123,98,8771/1500
375,9/4,83/5,56/25,42/25,56/75,18,6000,123,98,4573/750
450,0,83/5,28/15,1,28/45,18,9000,98,98,5771/1500
450,1/4,83/5,28/15,1,28/45,18,9000,98,98,3073/750
450,1/2,83/5,28/15,1,28/45,18,9000,98,98,6521/1500
450,3/4,83/5,28/15,1,28/45,18,9000,98,98,1724/375
450,1,83/5,28/15,1,28/45,18,9000,98,98,7271/1500
450,5/4,83/5,28/15,1,28/45,18,9000,98,98,3823/750
450,3/2,83/5,28/15,1,28/45,18,9000,98,98,8021/1500
450,7/4,83/5,28/15,1,28/45,18,9000,98,98,2099/375
450,2,83/5,28/15,1,28/45,18,9000,98,98,8771/1500
625,0,83/5,168/125,1,56/125,18,6000,123,98,5771/1500
625,1/4,83/5,168/125,1,56/125,18,6000,123,98,3073/750
625,1/2,83/5,168/125,1,56/125,18,6000,123,98,6521/1500
625,3/4,83/5,168/125,1,56/125,18,6000,123,98,1724/375
625,1,83/5,168/125,1,56/125,18,6000,123,98,7271/1500
750,0,83/5,28/25,1,28/75,18,3000,98,98,5771/1500
750,1/4,83/5,28/25,1,28/75,18,3000,98,98,3073/750
750,1/2,83/5,28/25,1,28/75,18,3000,98,98,6521/1500
750,3/4,83/5,28/25,1,28/75,18,3000,98,98,1724/375
750,1,83/5,28/25,1,28/75,18,3000,98,98,7271/1500
700,0,83/5,6/5,1,2/5,18,21000,98,98,5771/1500
700,1/4,83/5,6/5,1,2/5,18,21000,98,98,3073/750
700,1/2,83/5,6/5,1,2/5,18,21000,98,98,6521/1500
700,3/4,83/5,6/5,1,2/5,18,21000,98,98,1724/375
700,1,83/5,6/5,1,2/5,18,21000,98,98,7271/1500
700,5/4,83/5,6/5,1,2/5,18,21000,98,98,3823/750
